ApplNo,Form,Dosage,drugname,activeingred
76391,SOLUTION; INHALATION,EQ 0.5% BASE,ALBUTEROL SULFATE,ALBUTEROL SULFATE
76392,TABLET; ORAL,250MG,MEFLOQUINE HYDROCHLORIDE,MEFLOQUINE HYDROCHLORIDE
76393,TABLET; ORAL-28,"0.035MG,0.035MG,0.035MG;0.5MG,0.75MG,1MG",NORETHINDRONE AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; NORETHINDRONE
76393,TABLET; ORAL,0.75MG; 0.035MG,NORETHINDRONE; ETHINYL ESTRADIOL,NORETHINDRONE; ETHINYL ESTRADIOL
76393,TABLET; ORAL,1MG; 0.035MG,NORETHINDRONE; ETHINYL ESTRADIOL,NORETHINDRONE; ETHINYL ESTRADIOL
76394,INJECTABLE; INJECTION,50MG/ML,AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE
76395,"CAPSULE, EXTENDED RELEASE; ORAL",120MG,DILTZAC,DILTIAZEM HYDROCHLORIDE
76395,"CAPSULE, EXTENDED RELEASE; ORAL",180MG,DILTZAC,DILTIAZEM HYDROCHLORIDE
76395,"CAPSULE, EXTENDED RELEASE; ORAL",240MG,DILTZAC,DILTIAZEM HYDROCHLORIDE
76395,"CAPSULE, EXTENDED RELEASE; ORAL",300MG,DILTZAC,DILTIAZEM HYDROCHLORIDE
76395,"CAPSULE, EXTENDED RELEASE; ORAL",360MG,DILTZAC,DILTIAZEM HYDROCHLORIDE
76396,"SPRAY, METERED; NASAL",200 IU/SPRAY,CALCITONIN-SALMON,CALCITONIN SALMON
76397,TABLET; ORAL,40MG,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
76397,TABLET; ORAL,20MG,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
76397,TABLET; ORAL,10MG,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
76398,TABLET; ORAL,EQ 10MG BASE,TAMOXIFEN CITRATE,TAMOXIFEN CITRATE
76398,TABLET; ORAL,EQ 20MG BASE,TAMOXIFEN CITRATE,TAMOXIFEN CITRATE
76399,TABLET; ORAL,EQ 2MG BASE,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE
76400,INJECTABLE; INJECTION,1MG/ML,PROPRANOLOL HYDROCHLORIDE,PROPRANOLOL HYDROCHLORIDE
76401,INJECTABLE; INJECTION,1MG/ML,VINCRISTINE SULFATE,VINCRISTINE SULFATE
76402,TABLET; ORAL,5MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76402,TABLET; ORAL,10MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76402,TABLET; ORAL,20MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76402,TABLET; ORAL,40MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76404,INJECTABLE; INJECTION,3MG/ML,ADENOSINE,ADENOSINE
76405,TABLET; ORAL-21,"0.02MG,0.03MG,0.035MG;1MG,1MG,1MG",TRI-LEGEST 21,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
76407,SOLUTION/DROPS; OPHTHALMIC,0.30%,OFLOXACIN,OFLOXACIN
76408,CREAM; TOPICAL,0.75%,METRONIDAZOLE,METRONIDAZOLE
76409,TABLET; ORAL,50MG,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE
76409,TABLET; ORAL,100MG,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE
76409,TABLET; ORAL,150MG,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE
76409,TABLET; ORAL,200MG,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE
76409,TABLET; ORAL,250MG,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE
76410,TABLET; ORAL,5MG,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE
76410,TABLET; ORAL,10MG,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE
76411,TABLET; ORAL,1GM,METHENAMINE HIPPURATE,METHENAMINE HIPPURATE
76412,"TABLET, EXTENDED RELEASE; ORAL",15MG,MORPHINE SULFATE,MORPHINE SULFATE
76412,"TABLET, EXTENDED RELEASE; ORAL",30MG,MORPHINE SULFATE,MORPHINE SULFATE
76412,"TABLET, EXTENDED RELEASE; ORAL",60MG,MORPHINE SULFATE,MORPHINE SULFATE
76413,"TABLET, EXTENDED RELEASE; ORAL",500MG,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE
76414,INJECTABLE; INJECTION,EQ 20MG BASE/100ML (EQ 0.2MG BASE/ML),MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,MILRINONE LACTATE
76415,TABLET; ORAL,2.5MG,OLANZAPINE,OLANZAPINE
76415,TABLET; ORAL,5MG,OLANZAPINE,OLANZAPINE
76415,TABLET; ORAL,7.5MG,OLANZAPINE,OLANZAPINE
76415,TABLET; ORAL,10MG,OLANZAPINE,OLANZAPINE
76415,TABLET; ORAL,15MG,OLANZAPINE,OLANZAPINE
76415,TABLET; ORAL,20MG,OLANZAPINE,OLANZAPINE
76416,TABLET; ORAL,EQ 2MG BASE,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE
76416,TABLET; ORAL,EQ 4MG BASE,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE
76417,CAPSULE; ORAL,EQ 0.5MG BASE,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE
76417,CAPSULE; ORAL,EQ 1MG BASE,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE
76418,TABLET; ORAL,EQ 2.5MG BASE,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE
76418,TABLET; ORAL,EQ 5MG BASE,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE
76418,TABLET; ORAL,EQ 10MG BASE,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE
76419,SHAMPOO; TOPICAL,2%,KETOCONAZOLE,KETOCONAZOLE
76420,"TABLET, CHEWABLE; ORAL",5MG,LAMOTRIGINE,LAMOTRIGINE
76420,"TABLET, CHEWABLE; ORAL",25MG,LAMOTRIGINE,LAMOTRIGINE
76421,TABLET; ORAL,50MG,FLECAINIDE ACETATE,FLECAINIDE ACETATE
76421,TABLET; ORAL,100MG,FLECAINIDE ACETATE,FLECAINIDE ACETATE
76421,TABLET; ORAL,150MG,FLECAINIDE ACETATE,FLECAINIDE ACETATE
76422,SUSPENSION; TOPICAL,0.77%,CICLOPIROX,CICLOPIROX
76424,TABLET; ORAL,50MG,FLUCONAZOLE,FLUCONAZOLE
76424,TABLET; ORAL,100MG,FLUCONAZOLE,FLUCONAZOLE
76424,TABLET; ORAL,150MG,FLUCONAZOLE,FLUCONAZOLE
76424,TABLET; ORAL,200MG,FLUCONAZOLE,FLUCONAZOLE
76426,TABLET; ORAL,EQ 100MG BASE,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE
76426,TABLET; ORAL,EQ 250MG BASE,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE
76426,TABLET; ORAL,EQ 500MG BASE,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE
76426,TABLET; ORAL,EQ 750MG BASE,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE
76427,INJECTABLE; INJECTION,EQ 1MG BASE/ML,MILRINONE LACTATE,MILRINONE LACTATE
76427,INJECTABLE; INJECTION,20MG/20ML,MILRINONE LACTATE,MILRINONE LACTATE
76428,INJECTABLE; INJECTION,EQ 1MG BASE/ML,MILRINONE LACTATE,MILRINONE LACTATE
76429,TABLET; ORAL,500MG;100MG,DARVOCET A500,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE
76430,TABLET; ORAL,5MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76430,TABLET; ORAL,10MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76430,TABLET; ORAL,20MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76430,TABLET; ORAL,40MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76432,TABLET; ORAL,50MG,FLUCONAZOLE,FLUCONAZOLE
76432,TABLET; ORAL,100MG,FLUCONAZOLE,FLUCONAZOLE
76432,TABLET; ORAL,150MG,FLUCONAZOLE,FLUCONAZOLE
76432,TABLET; ORAL,200MG,FLUCONAZOLE,FLUCONAZOLE
76433,TABLET; ORAL,54MG,FENOFIBRATE,FENOFIBRATE
76433,TABLET; ORAL,160MG,FENOFIBRATE,FENOFIBRATE
76434,SOLUTION; DENTAL,0.12%,CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE
76435,CREAM; TOPICAL,0.77%,CICLOPIROX,CICLOPIROX
76436,TABLET; ORAL,1MG,FINASTERIDE,FINASTERIDE
76437,TABLET; ORAL,5MG,FINASTERIDE,FINASTERIDE
76438,"TABLET, EXTENDED RELEASE; ORAL",100MG,MORPHINE SULFATE,MORPHINE SULFATE
76438,"TABLET, EXTENDED RELEASE; ORAL",200MG,MORPHINE SULFATE,MORPHINE SULFATE
76439,SOLUTION/DROPS; OPHTHALMIC,0.20%,BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE
76440,SOLUTION; ORAL,1MG/ML,RISPERIDONE,RISPERIDONE
76442,TABLET; ORAL,EQ 25MG BASE,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE
76442,TABLET; ORAL,EQ 50MG BASE,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE
76442,TABLET; ORAL,EQ 100MG BASE,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE
76444,INJECTABLE; INJECTION,10MG/ML,HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE
76445,TABLET; ORAL,10MG,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
76445,TABLET; ORAL,20MG,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
76445,TABLET; ORAL,40MG,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
76445,TABLET; ORAL,80MG,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
76446,"TABLET, EXTENDED RELEASE; ORAL",10MG,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE
76446,"TABLET, EXTENDED RELEASE; ORAL",20MG,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE
76446,"TABLET, EXTENDED RELEASE; ORAL",40MG,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE
76447,TABLET; ORAL,30MG,FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE
76447,TABLET; ORAL,60MG,FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE
76447,TABLET; ORAL,180MG,FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE
76447,TABLET; ORAL,30MG,CHILDREN'S FEXOFENADINE HYDROCHLORIDE ALLERGY,FEXOFENADINE HYDROCHLORIDE
76447,TABLET; ORAL,30MG,CHILDREN'S FEXOFENADINE HYDROCHLORIDE HIVES,FEXOFENADINE HYDROCHLORIDE
76447,TABLET; ORAL,60MG,FEXOFENADINE HYDROCHLORIDE ALLERGY,FEXOFENADINE HYDROCHLORIDE
76447,TABLET; ORAL,60MG,FEXOFENADINE HYDROCHLORIDE HIVES,FEXOFENADINE HYDROCHLORIDE
76447,TABLET; ORAL,180MG,FEXOFENADINE HYDROCHLORIDE ALLERGY,FEXOFENADINE HYDROCHLORIDE
76447,TABLET; ORAL,180MG,FEXOFENADINE HYDROCHLORIDE HIVES,FEXOFENADINE HYDROCHLORIDE
76448,CAPSULE; ORAL,15MG,TOPIRAMATE,TOPIRAMATE
76448,CAPSULE; ORAL,25MG,TOPIRAMATE,TOPIRAMATE
76449,TABLET; ORAL,2.5MG,MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE
76449,TABLET; ORAL,5MG,MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE
76449,TABLET; ORAL,10MG,MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE
76450,"TABLET, EXTENDED RELEASE; ORAL",500MG,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE
76451,CREAM; TOPICAL,0.05%,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE
76453,CREAM; TOPICAL,2.5%;2.5%,LIDOCAINE AND PRILOCAINE,LIDOCAINE; PRILOCAINE
76455,TABLET; ORAL-28,"0.1MG,0.125MG,0.15MG;0.025MG,0.025MG,0.025MG",VELIVET,DESOGESTREL; ETHINYL ESTRADIOL
76455,Tablet; Oral,0.125MG/0.025MG,DESOGESTREL; ETHINYL,DESOGESTREL; ETHINYL ESTRADIOL
76455,Tablet; Oral,0.15MG/0.025MG,DESOGESTREL; ETHINYL,DESOGESTREL; ETHINYL ESTRADIOL
76456,Concentrate; dilution injection,250MG/ML,ESMOLOL HYDROCHLORIDE,ESMOLOL HYDROCHLORIDE
76457,CAPSULE; ORAL,250MG,GANCICLOVIR,GANCICLOVIR
76457,CAPSULE; ORAL,500MG,GANCICLOVIR,GANCICLOVIR
76458,SOLUTION; ORAL,EQ 20MG BASE/5ML,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE
76459,TABLET; ORAL,EQ 5MG BASE,QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE
76459,TABLET; ORAL,EQ 10MG BASE,QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE
76459,TABLET; ORAL,EQ 20MG BASE,QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE
76459,TABLET; ORAL,EQ 40MG BASE,QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE
76460,TABLET; ORAL,200MG,IBUPROFEN,IBUPROFEN
76461,INJECTABLE; INJECTION,EQ 10MG BASE/ML,VINORELBINE TARTRATE,VINORELBINE TARTRATE
76462,"TABLET, EXTENDED RELEASE; ORAL",750MG,METRONIDAZOLE,METRONIDAZOLE
76463,INJECTABLE; INJECTION,EQ 50MG BASE/ML,HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE
76463,INJECTABLE; INJECTION,EQ 100MG BASE/ML,HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE
76464,INJECTABLE; INJECTION,EQ 5MG BASE/ML,HALOPERIDOL,HALOPERIDOL LACTATE
76465,TABLET; ORAL,EQ 25MG BASE,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE
76465,TABLET; ORAL,EQ 50MG BASE,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE
76465,TABLET; ORAL,EQ 100MG BASE,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE
76466,TABLET; ORAL,5MG,METOLAZONE,METOLAZONE
76466,TABLET; ORAL,10MG,METOLAZONE,METOLAZONE
76467,"TABLET, EXTENDED RELEASE; ORAL",5MG,GLIPIZIDE,GLIPIZIDE
76467,"TABLET, EXTENDED RELEASE; ORAL",10MG,GLIPIZIDE,GLIPIZIDE
76467,"TABLET, EXTENDED RELEASE; ORAL",2.5MG,GLIPIZIDE,GLIPIZIDE
76468,CAPSULE; ORAL,EQ 0.5MG BASE,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE
76468,CAPSULE; ORAL,EQ 1MG BASE,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE
76469,SOLUTION; INHALATION,10MG/ML,CROMOLYN SODIUM,CROMOLYN SODIUM
76470,TABLET; ORAL,0.1MG,DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE
76470,TABLET; ORAL,0.2MG,DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE
76471,TABLET; ORAL,10MG,LORATADINE,LORATADINE
76473,INJECTABLE; INJECTION,50MG/VIAL,CARBOPLATIN,CARBOPLATIN
76473,INJECTABLE; INJECTION,150MG/VIAL,CARBOPLATIN,CARBOPLATIN
76473,INJECTABLE; INJECTION,450MG/VIAL,CARBOPLATIN,CARBOPLATIN
76474,INJECTABLE; INJECTION,10MG/ML,ESMOLOL HYDROCHLORIDE,ESMOLOL HYDROCHLORIDE
76475,TABLET; ORAL,325MG;37.5MG,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE
76476,TABLET; ORAL,5MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76476,TABLET; ORAL,10MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76476,TABLET; ORAL,20MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76476,TABLET; ORAL,40MG,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE
76477,TABLET; ORAL,EQ 10MG BASE,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
76477,TABLET; ORAL,EQ 20MG BASE,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
76477,TABLET; ORAL,EQ 40MG BASE,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
76477,TABLET; ORAL,EQ 80MG BASE,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
76478,SUSPENSION; ORAL,100MG/5ML;15MG/5ML,IBUPROFEN AND PSEUDOEPHEDRINE HYDROCHLORIDE,IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE
76479,CREAM; TOPICAL,1%,ECONAZOLE NITRATE,ECONAZOLE NITRATE
76481,OINTMENT; TOPICAL,0.10%,MOMETASONE FUROATE,MOMETASONE FUROATE
76482,TABLET; ORAL,10MG,METOLAZONE,METOLAZONE
76482,TABLET; ORAL,10MG,METOLAZONE,METOLAZONE
76483,TABLET; ORAL,10MG,FOSINOPRIL SODIUM,FOSINOPRIL SODIUM
76483,TABLET; ORAL,20MG,FOSINOPRIL SODIUM,FOSINOPRIL SODIUM
76483,TABLET; ORAL,40MG,FOSINOPRIL SODIUM,FOSINOPRIL SODIUM
76484,INJECTABLE; INJECTION,200MG/20ML (10MG/ML),CIPROFLOXACIN,CIPROFLOXACIN
76484,INJECTABLE; INJECTION,400MG/40ML (10MG/ML),CIPROFLOXACIN,CIPROFLOXACIN
76485,CAPSULE; ORAL,10MG,MYORISAN,ISOTRETINOIN
76485,CAPSULE; ORAL,20MG,MYORISAN,ISOTRETINOIN
76485,CAPSULE; ORAL,40MG,MYORISAN,ISOTRETINOIN
76486,TABLET; ORAL,5MG;12.5MG,ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,ENALAPRIL MALEATE; HYDROCHLOROTHIAZIDE
76486,TABLET; ORAL,10MG;25MG,ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,ENALAPRIL MALEATE; HYDROCHLOROTHIAZIDE
76488,Injectable; Injection,100MG/ML,MESNA,MESNA
76489,CAPSULE; ORAL,EQ 0.5MG BASE,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE
76489,CAPSULE; ORAL,EQ 1MG BASE,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE
76490,"TABLET, EXTENDED RELEASE; ORAL",450MG,LITHIUM CARBONATE,LITHIUM CARBONATE
76491,FOR SOLUTION; ORAL,420GM/BOT;1.48GM/BOT;5.72GM/BOT;11.2GM/BOT,TRILYTE,POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
76493,LOTION; TOPICAL,EQ 0.05% BASE;1%,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE
76494,TABLET; ORAL,250MG,NAPROXEN,NAPROXEN
76494,TABLET; ORAL,375MG,NAPROXEN,NAPROXEN
76494,TABLET; ORAL,500MG,NAPROXEN,NAPROXEN
76495,INJECTABLE; INJECTION,1MG/ML,METOPROLOL TARTRATE,METOPROLOL TARTRATE
76496,"TABLET, EXTENDED RELEASE; ORAL",500MG,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE
76497,TABLET; ORAL,2MG,LOPERAMIDE HYDROCHLORIDE,LOPERAMIDE HYDROCHLORIDE
76498,CREAM; TOPICAL,0.05%,TRETINOIN,TRETINOIN
76499,LOTION; TOPICAL,0.10%,MOMETASONE FUROATE,MOMETASONE FUROATE
76500,INJECTABLE; INJECTION,3MG/ML,ADENOSINE,ADENOSINE
76501,INJECTABLE; INJECTION,3MG/ML,ADENOSINE,ADENOSINE
76502,TABLET; ORAL,30MG,FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE
76502,TABLET; ORAL,60MG,FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE
76502,TABLET; ORAL,180MG,FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE
76502,TABLET; ORAL,30MG,CHILDREN'S FEXOFENADINE HYDROCHLORIDE ALLERGY,FEXOFENADINE HYDROCHLORIDE
76502,TABLET; ORAL,30MG,CHILDREN'S FEXOFENADINE HYDROCHLORIDE HIVES,FEXOFENADINE HYDROCHLORIDE
76502,TABLET; ORAL,60MG,FEXOFENADINE HYDROCHLORIDE ALLERGY,FEXOFENADINE HYDROCHLORIDE
76502,TABLET; ORAL,60MG,FEXOFENADINE HYDROCHLORIDE HIVES,FEXOFENADINE HYDROCHLORIDE
76502,TABLET; ORAL,180MG,FEXOFENADINE HYDROCHLORIDE ALLERGY,FEXOFENADINE HYDROCHLORIDE
76502,TABLET; ORAL,180MG,FEXOFENADINE HYDROCHLORIDE HIVES,FEXOFENADINE HYDROCHLORIDE
76503,CAPSULE; ORAL,30MG,SOTRET,ISOTRETINOIN
76504,"SPRAY, METERED; NASAL",0.05MG/SPRAY,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE
76505,CAPSULE; ORAL,375MG,METRONIDAZOLE,METRONIDAZOLE
76506,"TABLET, ORALLY DISINTEGRATING; ORAL",4MG,ONDANSETRON,ONDANSETRON
76506,"TABLET, ORALLY DISINTEGRATING; ORAL",8MG,ONDANSETRON,ONDANSETRON
76507,TABLET; ORAL,50MG,FLUCONAZOLE,FLUCONAZOLE
76507,TABLET; ORAL,100MG,FLUCONAZOLE,FLUCONAZOLE
76507,TABLET; ORAL,150MG,FLUCONAZOLE,FLUCONAZOLE
76507,TABLET; ORAL,200MG,FLUCONAZOLE,FLUCONAZOLE
76508,"GEL, AUGMENTED; TOPICAL",EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE
76509,TABLET; ORAL,54MG,FENOFIBRATE,FENOFIBRATE
76509,TABLET; ORAL,160MG,FENOFIBRATE,FENOFIBRATE
76510,CREAM; TOPICAL,0.25%,DESOXIMETASONE,DESOXIMETASONE
76511,TABLET; ORAL,5MG,FINASTERIDE,FINASTERIDE
76512,INJECTABLE; INJECTION,100MG/ML,CYTARABINE,CYTARABINE
76513,SOLUTION/DROPS; OPHTHALMIC,0.30%,OFLOXACIN,OFLOXACIN
76514,TABLET; ORAL,2.5MG,MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE
76514,TABLET; ORAL,5MG,MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE
76514,TABLET; ORAL,10MG,MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE
76515,"CAPSULE, DELAYED REL PELLETS; ORAL",40MG,OMEPRAZOLE,OMEPRAZOLE
76516,LOTION; TOPICAL,EQ 0.05% BASE;1%,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE
76517,INJECTABLE; IV (INFUSION),50MG/5ML (10MG/ML),CARBOPLATIN,CARBOPLATIN
76517,INJECTABLE; IV (INFUSION),150MG/15ML (10MG/ML),CARBOPLATIN,CARBOPLATIN
76517,INJECTABLE; IV (INFUSION),450MG/45ML (10MG/ML),CARBOPLATIN,CARBOPLATIN
76518,"TABLET, EXTENDED RELEASE; ORAL",EQ 200MG BASE;120MG,NAPROXEN SODIUM AND PSEUDOEPHEDRINE HYDROCHLORIDE,NAPROXEN SODIUM; PSEUDOEPHEDRINE HYDROCHLORIDE
76519,TABLET; ORAL,250MG,METRONIDAZOLE,METRONIDAZOLE
76519,TABLET; ORAL,500MG,METRONIDAZOLE,METRONIDAZOLE
76520,TABLET; ORAL,54MG,FENOFIBRATE,FENOFIBRATE
76520,TABLET; ORAL,107MG,FENOFIBRATE,FENOFIBRATE
76520,TABLET; ORAL,160MG,FENOFIBRATE,FENOFIBRATE
76521,"TABLET, EXTENDED RELEASE; ORAL",25MG;100MG,CARBIDOPA AND LEVODOPA,CARBIDOPA; LEVODOPA
76521,"TABLET, EXTENDED RELEASE; ORAL",50MG;200MG,CARBIDOPA AND LEVODOPA,CARBIDOPA; LEVODOPA
76522,CAPSULE; ORAL,375MG,METRONIDAZOLE,METRONIDAZOLE
76523,TABLET; ORAL,250MG,MEFLOQUINE HYDROCHLORIDE,MEFLOQUINE HYDROCHLORIDE
76525,TABLET; ORAL,200MG,TERIL,CARBAMAZEPINE
76526,SOLUTION; TOPICAL,2%,FLUOROURACIL,FLUOROURACIL
76526,SOLUTION; TOPICAL,5%,FLUOROURACIL,FLUOROURACIL
76527,SOLUTION/DROPS; OTIC,0.30%,OFLOXACIN,OFLOXACIN
76528,CAPSULE; ORAL,325MG;50MG;40MG;30MG,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE
76528,Capsule; Oral,40MG/30MG,BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE,BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE
76529,SYRUP; ORAL,1MG/ML,LORATADINE,LORATADINE
76530,CAPSULE; ORAL,EQ 0.5MG BASE,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE
76530,CAPSULE; ORAL,EQ 1MG BASE,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE
76532,TABLET; ORAL,5MG,SIMVASTATIN,SIMVASTATIN
76532,TABLET; ORAL,10MG,SIMVASTATIN,SIMVASTATIN
76532,TABLET; ORAL,20MG,SIMVASTATIN,SIMVASTATIN
76532,TABLET; ORAL,40MG,SIMVASTATIN,SIMVASTATIN
76532,TABLET; ORAL,80MG,SIMVASTATIN,SIMVASTATIN
76533,TABLET; ORAL,EQ 2MG BASE,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE
76533,TABLET; ORAL,EQ 4MG BASE,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE
76534,"TABLET, ORALLY DISINTEGRATING; ORAL",5MG,OLANZAPINE,OLANZAPINE
76534,"TABLET, ORALLY DISINTEGRATING; ORAL",10MG,OLANZAPINE,OLANZAPINE
