ApplNo,SponsorApplicant
76239,EI INC                                            
76240,APOTEX                                            
76241,ACTAVIS TOTOWA                                    
76242,ROXANE                                            
76243,WEST WARD                                         
76244,IVAX SUB TEVA PHARMS                              
76246,ROXANE                                            
76249,IMPAX LABS                                        
76250,BARR                                              
76251,BARR                                              
76252,TEVA                                              
76254,ALCON PHARMS LTD                                  
76255,DR REDDYS LABS LTD
76256,BEDFORD LABS                                      
76257,COREPHARMA                                        
76258,MYLAN TECHNOLOGIES                                
76259,BAXTER HLTHCARE                                   
76260,BAUSCH AND LOMB                                   
76262,SANDOZ                                            
76263,ALTANA                                            
76264,MALLINCKRODT                                      
76265,WEST WARD                                         
76266,BEDFORD                                           
76267,WATSON LABS FLORIDA                               
76268,STEVENS J                                         
76269,TEVA                                              
76270,ROXANE                                            
76271,SANDOZ                                            
76273,DR REDDYS LABS INC                                
76274,APOTEX INC
76276,MYLAN                                             
76277,TEVA                                              
76278,ROXANE                                            
76279,GENEVA PHARMS TECH
76280,SANDOZ                                            
76281,ACTAVIS TOTOWA                                    
76282,ALPHAPHARM                                        
76283,ACTAVIS ELIZABETH                                 
76284,TEVA                                              
76285,RANBAXY                                           
76286,DR REDDYS LABS INC                                
76287,TEVA                                              
76288,MYLAN                                             
76290,HI TECH PHARMA                                    
76291,WATSON LABS                                       
76294,ALTANA                                            
76295,BEDFORD                                           
76296,APP PHARMS                                        
76298,IMPAX PHARMS                                      
76299,BEDFORD LABS                                      
76300,ALTANA                                            
76301,PERRIGO                                           
76302,SANDOZ                                            
76303,HOSPIRA                                           
76304,HOSPIRA                                           
76306,ROXANE                                            
76307,WATSON LABS                                       
76308,ACTAVIS ELIZABETH                                 
76309,DR REDDYS LABS INC                                
76310,PAR PHARM                                         
76311,ACCORD HLTHCARE                                   
76312,WATSON LABS                                       
76313,BEDFORD                                           
76314,MYLAN                                             
76315,BARR                                              
76316,HAEMONETICS                                       
76317,TEVA                                              
76318,IMPAX LABS
76320,TOLMAR                                            
76321,IVAX SUB TEVA PHARMS                              
76322,CLARIS LIFESCIENCES                               
76323,BEDFORD LABS                                      
76324,CLARIS LIFESCIENCES                               
76326,BEDFORD LABS
76327,RANBAXY                                           
76328,TEVA                                              
76329,ALTANA                                            
76330,BEDFORD                                           
76332,RANBAXY                                           
76333,IVAX SUB TEVA PHARMS                              
76334,VINTAGE                                           
76335,VINTAGE                                           
76336,WATSON LABS FLORIDA                               
76337,VINTAGE                                           
76338,VINTAGE                                           
76340,IVAX SUB TEVA PHARMS                              
76341,APOTEX                                            
76342,WATSON LABS FLORIDA                               
76343,CIPLA LTD                                         
76344,RANBAXY                                           
76345,IVAX SUB TEVA PHARMS                              
76346,PLIVA PHARM IND                                   
76347,COREPHARMA                                        
76348,IVAX SUB TEVA PHARMS                              
76349,TEVA PARENTERAL                                   
76350,RECIP                                             
76351,MYLAN                                             
76352,SILARX                                            
76353,MALLINCKRODT                                      
76354,MYLAN                                             
76355,NEPHRON                                           
76356,BARR                                              
76357,PERRIGO                                           
76359,PERRIGO                                           
76361,TEVA                                              
76362,TARO                                              
76363,CARACO                                            
76364,TARO PHARM INDS                                   
76366,BARR                                              
76367,TARO PHARM INDS                                   
76368,EURAND                                            
76369,PERRIGO NEW YORK                                  
76370,WATSON LABS INC                                   
76371,BARR                                              
76372,TEVA PARENTERAL                                   
76373,TEVA                                              
76374,GAVIS PHARMS                                      
76375,ACTAVIS TOTOWA                                    
76377,TEVA                                              
76378,BARR                                              
76379,PADDOCK LLC                                       
76380,BARR                                              
76381,BARR                                              
76382,ABLE                                              
76383,APOTEX                                            
76386,RANBAXY                                           
76387,ROXANE                                            
76388,TEVA                                              
76390,DR REDDYS LABS INC                                
76391,NOVEX                                             
76392,BARR                                              
76393,WATSON LABS                                       
76394,CLARIS LIFESCIENCES                               
76395,APOTEX INC                                        
76396,APOTEX INC                                        
76397,LEK PHARMS DD                                     
76398,AEGIS PHARMS                                      
76399,SANDOZ                                            
76400,SANDOZ                                            
76401,APP PHARMS                                        
76402,SANDOZ                                            
76404,BEDFORD                                           
76405,BARR                                              
76407,AKORN                                             
76408,ALTANA                                            
76409,RANBAXY                                           
76410,TEVA                                              
76411,COREPHARMA                                        
76412,MALLINCKRODT                                      
76413,RANBAXY LABS LTD                                  
76414,B BRAUN                                           
76415,TEVA PHARMS
76416,CARACO                                            
76417,WATSON LABS                                       
76418,MYLAN                                             
76419,PERRIGO NEW YORK                                  
76420,TEVA                                              
76421,RANBAXY                                           
76422,ALTANA                                            
76424,PLIVA                                             
76426,PLIVA                                             
76427,CLARIS LIFESCIENCES                               
76428,BIONICHE PHARMA                                   
76429,XANODYNE PHARM                                    
76430,MYLAN                                             
76432,GEDEON RICHTER USA                                
76433,TEVA                                              
76434,JOHN O BUTLER CO                                  
76435,ALTANA                                            
76436,DR REDDYS LABS INC                                
76437,DR REDDYS LABS LTD                                
76438,MALLINCKRODT                                      
76439,AKORN                                             
76440,TEVA                                              
76442,DR REDDYS LABS LTD                                
76444,BARR                                              
76445,RANBAXY                                           
76446,IMPAX PHARMS
76447,TEVA                                              
76448,BARR                                              
76449,IMPAX PHARMS                                      
76450,ACTAVIS ELIZABETH                                 
76451,ALTANA                                            
76453,NYCOMED US                                        
76455,DURAMED PHARMS BARR                               
76456,PHARMAFORCE
76457,RANBAXY                                           
76458,LANNETT                                           
76459,ACTAVIS TOTOWA                                    
76460,AVEMA PHARMA                                      
76461,BEDFORD                                           
76462,ABLE                                              
76463,SANDOZ                                            
76464,SANDOZ                                            
76465,TEVA                                              
76466,SANDOZ                                            
76467,WATSON LABS                                       
76468,IVAX SUB TEVA PHARMS                              
76469,WATSON LABS                                       
76470,WATSON LABS                                       
76471,APOTEX INC                                        
76473,HOSPIRA                                           
76474,BIONICHE PHARMA                                   
76475,PAR PHARM                                         
76476,GENPHARM                                          
76477,RANBAXY LABS LTD                                  
76478,PERRIGO                                           
76479,PERRIGO NEW YORK                                  
76481,TOLMAR                                            
76482,ROXANE                                            
76483,SANDOZ                                            
76484,APP PHARMS                                        
76485,DOUGLAS PHARMS                                    
76486,APOTEX INC                                        
76488,BIONICHE (CANADA)
76489,ROXANE                                            
76490,WEST WARD                                         
76491,MEDA PHARMS                                       
76493,TARO                                              
76494,WESTWARD                                          
76495,BEDFORD LABS                                      
76496,BARR                                              
76497,LNK                                               
76498,SPEAR PHARMS                                      
76499,TOLMAR                                            
76500,BAXTER HLTHCARE                                   
76501,BAXTER HLTHCARE                                   
76502,DR REDDYS LABS LTD                                
76503,RANBAXY                                           
76504,ROXANE                                            
76505,ABLE                                              
76506,PAR PHARM                                         
76507,TARO                                              
76508,TARO                                              
76509,IMPAX LABS                                        
76510,PERRIGO NEW YORK                                  
76511,TEVA                                              
76512,APP PHARMS                                        
76513,NOVEX                                             
76514,SANDOZ                                            
76515,SANDOZ                                            
76516,ALTANA PHARMA                                     
76517,HOSPIRA                                           
76518,PERRIGO                                           
76519,ABLE                                              
76520,MYLAN                                             
76521,IMPAX LABS                                        
76522,PAR PHARM                                         
76523,ROXANE                                            
76525,TARO                                              
76526,TARO                                              
76527,APOTEX INC                                        
76528,ABLE                                              
76529,RANBAXY                                           
76530,BARR                                              
76532,TEVA PHARMS
76533,APOTEX                                            
76534,DR REDDYS LABS LTD                                
76537,MUTUAL PHARM                                      
76538,MYLAN
76539,APP PHARMS                                        
76540,MYLAN                                             
76541,CARACO                                            
76543,TARO                                              
76544,ABLE                                              
76545,IVAX SUB TEVA PHARMS                              
76546,GAVIS PHARMS                                      
76549,WATSON LABS                                       
76550,PLIVA                                             
76552,TEVA PARENTERAL                                   
76553,TEVA PARENTERAL                                   
76554,RANBAXY                                           
76555,AKORN INC                                         
76557,RANBAXY                                           
76558,HIKMA                                             
76559,DR REDDYS LABS LTD                                
76560,NEXGEN PHARMA INC                                 
76561,APOTEX                                            
76563,NESHER PHARMS                                     
76564,TEVA PARENTERAL                                   
76565,TEVA                                              
76568,WATSON LABS                                       
76569,WATSON LABS                                       
76570,MUTUAL PHARMA                                     
76571,APP PHARMS                                        
76572,RANBAXY                                           
76573,APP PHARMS                                        
76574,PRASCO                                            
76575,TEVA                                              
76576,MUTUAL PHARM                                      
76577,MYLAN                                             
76578,MYLAN                                             
76580,RANBAXY                                           
76581,TEVA
76582,BEDFORD LABS                                      
76583,ALCON PHARMS LTD                                  
76584,MYLAN                                             
76585,G AND W LABS                                      
76586,ALTANA                                            
76587,TARO                                              
76588,RANBAXY                                           
76589,TEVA PARENTERAL                                   
76591,TOLMAR                                            
76592,PERRIGO NEW YORK                                  
76593,SANDOZ                                            
76594,MYLAN PHARMA
76595,RANBAXY LABS LTD
76596,TEVA PHARMS
76597,BARR
76598,ROXANE                                            
76599,BEDFORD LABS
76600,TEVA                                              
76601,TARO                                              
76602,PLIVA                                             
76603,TOLMAR                                            
76604,WATSON LABS FLORIDA                               
76605,RANBAXY                                           
76606,RANBAXY                                           
76607,RANBAXY                                           
76608,WATSON LABS FLORIDA                               
76609,WATSON LABS FLORIDA                               
76610,TEVA
76611,BEDFORD                                           
76612,MYLAN                                             
76614,BEDFORD LABS
76615,HI TECH PHARMA                                    
76616,HI TECH PHARMA                                    
76617,HOSPIRA                                           
76618,TEVA                                              
76619,BEDFORD LABS                                      
76620,WATSON LABS FLORIDA                               
76622,BAUSCH AND LOMB                                   
76624,TARO                                              
76625,WATSON LABS                                       
76626,WATSON LABS                                       
76627,WATSON LABS                                       
76629,WATSON LABS                                       
76630,MYLAN                                             
76631,SANDOZ                                            
76633,TOLMAR                                            
76635,RANBAXY                                           
76636,ACTAVIS TOTOWA                                    
76639,UNIQUE PHARM LABS                                 
76640,NESHER PHARMS                                     
76642,AMNEAL PHARMS NY                                  
76643,RANBAXY                                           
76644,MYLAN                                             
76645,NOVEX                                             
76648,MYLAN                                             
76649,DR REDDYS LABS LTD                                
76650,MYLAN                                             
76651,MUTUAL PHARMA
76652,KREMERS URBAN PHARMS                              
76653,TEVA PARENTERAL                                   
76654,TARO PHARM INDS                                   
76656,LUITPOLD                                          
76657,TEVA PARENTERAL                                   
76658,DR REDDYS LABS INC                                
76661,TEVA PARENTERAL                                   
76663,KV PHARM                                          
76664,ROXANE                                            
76665,APOTEX                                            
76666,ABLE                                              
76667,DR REDDYS LABS LTD
76668,PERRIGO NEW YORK                                  
76670,CARACO                                            
76671,MYLAN                                             
76672,TARO PHARM INDS
76673,HITECH PHARMA                                     
76674,APOTEX INC                                        
76675,VINTAGE                                           
76677,MYLAN                                             
76679,TARO                                              
76681,TEVA
76682,VINTAGE PHARMS                                    
76683,SANDOZ                                            
76684,AMPHASTAR PHARM                                   
76685,WATSON LABS                                       
76686,ACTAVIS TOTOWA                                    
76688,MYLAN                                             
76689,ACTAVIS TOTOWA                                    
76690,TEVA                                              
76691,ROXANE                                            
76692,DR REDDYS LABS LTD                                
76693,BARR                                              
76694,MYLAN                                             
76695,HOSPIRA                                           
76696,HOSPIRA                                           
76697,NOSTRUM                                           
76698,MYLAN                                             
76699,SCHWARZ PHARMA                                    
76701,DR REDDYS LABS LTD                                
76702,MYLAN                                             
76703,APOTEX INC                                        
76704,MYLAN                                             
76705,DR REDDYS LABS INC                                
76706,APOTEX                                            
76707,SANDOZ
76708,DR REDDYS LABS LTD                                
76709,WATSON LABS                                       
76710,DR REDDYS LABS INC                                
76711,IMPAX LABS                                        
76712,ALTANA                                            
76713,ANDRX PHARM
76714,DR REDDYS LABS INC                                
76715,CARLSBAD
76716,ACTAVIS ELIZABETH                                 
76717,HIKMA FARMACEUTICA                                
76719,APOTEX                                            
76720,NESHER PHARMS                                     
76721,WOCKHARDT                                         
76722,GLAND PHARMA LTD                                  
76723,ELITE LABS                                        
76724,TEVA PARENTERAL                                   
76725,UPSHER SMITH                                      
76729,TARO                                              
76730,TARO                                              
76731,COREPHARMA                                        
76732,SANDOZ                                            
76733,NESHER PHARMS                                     
76736,HIKMA FARMACEUTICA                                
76737,WATSON LABS                                       
76739,RANBAXY                                           
76740,BANNER PHARMACAPS                                 
76741,LNK                                               
76743,CORNERSTONE                                       
76744,PAR PHARM                                         
76745,IMPAX PHARMS                                      
76746,COREPHARMA                                        
76747,TEVA PHARMS
76748,DR REDDYS LABS INC
76749,NEPHRON                                           
76750,CORNERSTONE                                       
76751,PERRIGO ISRAEL                                    
76752,MERCK KGAA                                        
76753,TARO                                              
76754,BAUSCH AND LOMB                                   
76755,CLARIS LIFESCIENCES                               
76756,NOSTRUM                                           
76757,HIKMA FARMACEUTICA                                
76758,MALLINCKRODT                                      
76759,TEVA                                              
76760,WOCKHARDT                                         
76761,UPSHER SMITH                                      
76762,MYLAN                                             
76763,PADDOCK LLC                                       
76764,MYLAN
76765,IVAX PHARMS
76766,BAXTER HLTHCARE                                   
76768,WATSON LABS                                       
76770,BEDFORD                                           
76773,TARO                                              
76774,GLAND PHARMA LTD                                  
76775,PERRIGO                                           
76776,PERRIGO                                           
76777,PERRIGO                                           
76778,PERRIGO                                           
76779,PERRIGO                                           
76780,HIKMA FARMACEUTICA                                
76781,HIKMA FARMACEUTICA                                
76783,BARR                                              
76784,BARR                                              
76785,BARR                                              
76786,RANBAXY                                           
76787,BAXTER HLTHCARE                                   
76788,TARO                                              
76789,PERRIGO                                           
76790,TARO                                              
76791,CLARIS LIFESCIENCES                               
76792,MYLAN                                             
76793,PERRIGO NEW YORK                                  
76794,WATSON LABS                                       
76795,APOTEX INC                                        
76796,VINTAGE PHARMS                                    
76797,PRECISION DOSE                                    
76798,WATSON LABS
76799,ALPHAPHARM
76801,MYLAN
76802,TEVA                                              
76803,SANDOZ                                            
76805,TARO                                              
76806,WATSON LABS                                       
76809,IVAX SUB TEVA PHARMS                              
76810,TEVA                                              
76811,MYLAN                                             
76812,BARR                                              
76813,WEST WARD                                         
76814,ABLE                                              
76815,PARENTA PHARMS                                    
76817,VISTA PHARMS                                      
76818,WATSON LABS INC                                   
76820,BIOKEY                                            
76821,TEVA                                              
76822,TEVA
76823,ABLE                                              
76826,HI TECH PHARMA                                    
76827,HOSPIRA                                           
76828,CLARIS LIFESCIENCES                               
76829,PADDOCK LLC                                       
76830,FERA PHARMS                                       
76831,PADDOCK LLC                                       
76832,ROXANE                                            
76833,TEVA                                              
76834,SANDOZ                                            
76835,EPIC PHARMA                                       
76837,TEVA PARENTERAL                                   
76839,SICOR PHARMS
76840,TEVA                                              
76841,TEVA                                              
76842,TARO                                              
76844,ROXANE                                            
76845,SANDOZ                                            
76846,TEVA                                              
76847,DR REDDYS LABS INC                                
76848,SANDOZ                                            
76849,APP PHARMS                                        
76850,ALTANA                                            
76851,LYNE                                              
76853,TEVA PARENTERAL                                   
76854,SICOR PHARMS
76855,MALLINCKRODT                                      
76856,IMPAX LABS                                        
76858,COREPHARMA                                        
76859,LEK PHARMS DD                                     
76862,WATSON LABS FLORIDA                               
76863,BARR                                              
76864,TEVA                                              
76865,NESHER PHARMS                                     
76866,MYLAN PHARMA
76867,SANDOZ                                            
76868,ACTAVIS TOTOWA                                    
76869,WATSON LABS FLORIDA                               
76870,BEDFORD LABS                                      
76871,HOSPIRA                                           
76872,PERRIGO                                           
76873,SANDOZ                                            
76874,RANBAXY
76875,RANBAXY                                           
76876,TEVA                                              
76877,SANDOZ                                            
76878,ACTAVIS ELIZABETH                                 
76879,DR REDDYS LABS LTD                                
76880,IVAX SUB TEVA PHARMS                              
76881,ROXANE                                            
76882,APOTEX INC                                        
76883,TEVA                                              
76884,ALTANA                                            
76885,MYLAN PHARMA
76886,TEVA PARENTERAL                                   
76887,APP PHARMS                                        
76888,APOTEX INC                                        
76889,APOTEX INC                                        
76890,IVAX PHARMS
76891,WATSON LABS                                       
76893,PAR PHARM
76894,APOTEX INC                                        
76895,WOCKHARDT                                         
76896,APOTEX                                            
76897,SANDOZ                                            
76899,AMNEAL PHARMS NY                                  
76900,ZYDUS PHARMS USA                                  
76901,TEVA                                              
76903,ALTANA                                            
76904,ROXANE                                            
76905,TEVA PHARMS
76906,APOTEX INC                                        
76907,ABLE                                              
76910,IMPAX LABS                                        
76911,RANBAXY                                           
76912,TARO                                              
76913,PHARM ASSOC                                       
76914,WATSON LABS                                       
76915,WATSON LABS                                       
76916,WATSON LABS                                       
76917,ROXANE                                            
76918,TARO PHARM INDS                                   
76919,MYLAN                                             
76920,DR REDDYS LABS LTD                                
76921,AUROBINDO                                         
76922,PAR PHARM                                         
76923,X GEN PHARMS                                      
76925,PERRIGO R AND D                                   
76928,WATSON LABS                                       
76930,MYLAN                                             
76931,BEDFORD                                           
76932,TEVA                                              
76933,WATSON LABS                                       
76934,ROXANE                                            
76935,SANDOZ
76938,DR REDDYS LABS LTD
76939,WATSON LABS                                       
76941,TEVA                                              
76942,TOLMAR                                            
76943,ROXANE                                            
76944,ANDRX PHARMS
76945,TEVA                                              
76948,ZYDUS PHARMS USA
76950,TEVA PHARMS
76951,RANBAXY                                           
76953,RANBAXY
76955,APP PHARMS                                        
76957,UNIQUE PHARM LABS                                 
76958,TEVA                                              
76959,SANDOZ                                            
76960,ROXANE                                            
76961,SANDOZ                                            
76962,MYLAN                                             
76963,ROXANE                                            
76967,BEDFORD                                           
76968,ACTAVIS ELIZABETH                                 
76969,SANDOZ                                            
76970,RANBAXY
76972,APP PHARMS                                        
76973,ALTANA                                            
76974,APP PHARMS                                        
76976,SANDOZ                                            
76977,TOLMAR                                            
76978,HOSPIRA                                           
76979,PAR PHARM                                         
76980,TEVA                                              
76981,ALPHAPHARM
76982,NESHER PHARMS                                     
76984,WATSON LABS                                       
76985,IMPAX LABS                                        
76987,WATSON LABS                                       
76988,NESHER PHARMS                                     
76989,RANBAXY                                           
76990,RANBAXY                                           
76992,BEDFORD LABS                                      
76993,BEDFORD LABS                                      
76994,TARO                                              
76995,WATSON LABS FLORIDA                               
76996,WATSON LABS FLORIDA                               
77001,ALTANA                                            
77002,WEST WARD                                         
77004,CIPLA                                             
77005,IVAX SUB TEVA PHARMS                              
77007,PERRIGO R AND D                                   
77009,TARO                                              
77011,BEDFORD LABS                                      
77013,MYLAN                                             
77015,ALTANA                                            
77018,ALTANA                                            
77019,ALPHAPHARM                                        
77020,IVAX SUB TEVA PHARMS                              
77021,SANDOZ                                            
77022,COREPHARMA                                        
77024,ROXANE                                            
77025,MYLAN                                             
77026,HI TECH PHARMA                                    
77027,TEVA                                              
77028,ACTAVIS TOTOWA                                    
77029,TOLMAR                                            
77030,APOTEX INC                                        
77031,AUROBINDO                                         
77032,CARACO                                            
77033,ACTAVIS ELIZABETH                                 
77034,WATSON LABS                                       
77035,SANDOZ                                            
77036,COREPHARMA                                        
77037,ALPHAPHARM                                        
77038,DR REDDYS LABS LTD                                
77039,MYLAN                                             
77040,SANDOZ                                            
77041,ROXANE                                            
77042,MYLAN                                             
77043,ROXANE                                            
77044,WATSON LABS                                       
77045,EPIC PHARMA                                       
77046,APOTEX INC                                        
77048,IVAX SUB TEVA PHARMS                              
77050,SUN PHARM INDS (IN)                               
77051,LAVIPHARM LABS                                    
77052,MUTUAL PHARM                                      
77053,TEVA                                              
77055,G AND W LABS                                      
77056,TEVA                                              
77057,SANDOZ
77058,SUN PHARMA GLOBAL                                 
77059,HOSPIRA                                           
77060,ZYDUS PHARMS USA                                  
77061,ALTANA                                            
77062,ACTAVIS                                           
77063,WATSON LABS                                       
77064,ZYDUS PHARMS USA                                  
77065,GEDEON RICHTER USA                                
77066,SANDOZ                                            
77067,SUN PHARM INDS INC                                
77068,VINTAGE PHARMS                                    
77069,AUROSAL PHARMS                                    
77070,AMNEAL PHARM                                      
77071,SANDOZ                                            
77072,LANDELA PHARM                                     
77073,WATSON LABS                                       
77074,BEDFORD LABS                                      
77075,VINTAGE                                           
77076,BEDFORD                                           
77077,VINTAGE                                           
77078,ZYDUS PHARMS USA                                  
77080,SYNTHON PHARMS                                    
77081,MYLAN                                             
77082,TEVA PHARMS                                       
77083,BARR                                              
77084,TEVA PHARMS                                       
77085,SANDOZ                                            
77086,HERITAGE PHARMS INC                               
77087,SANDOZ                                            
77088,PROSAM LABS                                       
77089,PROSAM LABS                                       
77090,APOTEX INC                                        
77091,DR REDDYS LABS LTD                                
77092,TARO                                              
77093,MYLAN                                             
77094,ZYDUS PHARMS USA                                  
77095,AUROBINDO                                         
77096,SAGENT PHARMS                                     
77097,MYLAN                                             
77098,DR REDDYS LABS LTD                                
77099,VINTAGE PHARMS                                    
77100,ZYDUS PHARMS USA INC                              
77101,WATSON LABS                                       
77102,SAGENT PHARMS                                     
77105,APOTEX INC                                        
77106,ZYDUS PHARMS USA                                  
77107,TEVA PHARMS                                       
77109,ACTAVIS MID ATLANTIC                              
77111,ALTANA                                            
77112,PLIVA HRVATSKA DOO                                
77113,MYLAN                                             
77114,PERRIGO R AND D                                   
77115,APOTEX INC                                        
77117,APOTEX CORP                                       
77118,WATSON LABS FLORIDA                               
77120,APOTEX INC                                        
77121,MYLAN                                             
77122,TEVA PHARMS                                       
77123,PERRIGO ISRAEL                                    
77124,MUTUAL PHARM                                      
77126,SUN PHARMA GLOBAL                                 
77127,OSMOTICA PHARM                                    
77128,APOTEX INC                                        
77129,WATSON LABS                                       
77130,DR REDDYS LABS INC                                
77131,SUN PHARM INDS                                    
77132,TEVA PHARMS                                       
77133,APP PHARMS                                        
77135,WATSON LABS                                       
77136,MYLAN                                             
77137,WATSON LABS                                       
77138,TEVA PHARMS                                       
77139,TEVA PARENTERAL                                   
77141,NATCO PHARMA LTD                                  
77142,MALLINCKRODT                                      
77143,RANBAXY
77144,WATSON LABS                                       
77145,TARO PHARM INDS                                   
77146,WOCKHARDT                                         
77147,ACCORD HLTHCARE INC                               
77149,PERRIGO NEW YORK                                  
77150,COREPHARMA                                        
77151,CLARIS LIFESCIENCES                               
77152,LANNETT                                           
77153,RANBAXY                                           
77154,MALLINCKRODT INC                                  
77155,SANDOZ                                            
77156,VINTAGE PHARMS                                    
77157,TEVA PHARMS                                       
77158,SANDOZ
77159,TEVA PHARMS
77161,GLAND PHARMA LTD                                  
77162,WATSON LABS                                       
77163,MYLAN                                             
77165,TEVA PARENTERAL                                   
77166,MYLAN                                             
77167,BARR                                              
77168,G AND W LABS                                      
77169,MIKAH PHARMA                                      
77170,IVAX SUB TEVA PHARMS                              
77171,PAR PHARM                                         
77172,SUN PHARM INDS (IN)                               
77173,SUN PHARM INDS LTD                                
77174,HOSPIRA                                           
77176,NESHER PHARMS                                     
77177,BAXTER HLTHCARE                                   
77179,TEVA PHARMS                                       
77180,PERRIGO                                           
77181,MYLAN                                             
77182,WATSON LABS                                       
77183,DR REDDYS LABS INC                                
77184,CARACO                                            
77186,BEDFORD LABS                                      
77187,BEDFORD LABS                                      
77190,GLAND PHARMA LTD                                  
77194,BARR                                              
77195,MYLAN                                             
77196,WATSON LABS FLORIDA                               
77197,ALTANA                                            
77198,WATSON LABS FLORIDA                               
77200,ALCON PHARMS LTD                                  
77201,APOTEX INC                                        
77203,PAR PHARM                                         
77204,PAR PHARM                                         
77205,CIPLA LIMITED
77206,AUROBINDO PHARMA                                  
77208,MUTUAL PHARM                                      
77209,PROSAM LABS                                       
77210,TEVA PHARMS
77211,RANBAXY                                           
77213,TEVA PHARMS                                       
77214,ROXANE                                            
77215,WATSON LABS
77218,FLEMING                                           
77219,WATSON LABS                                       
77220,LANNETT                                           
77222,INVAGEN PHARMS                                    
77223,ROXANE                                            
77224,ZYDUS PHARMS USA                                  
77226,MYLAN                                             
77227,TARO                                              
77232,PLIVA                                             
77233,PADDOCK LLC                                       
77234,HIKMA FARMACEUTICA                                
77236,ALTANA                                            
77237,ROXANE                                            
77238,MYLAN                                             
77239,TEVA PHARMS                                       
77241,LANNETT                                           
77242,SUN PHARM INDS LTD                                
77243,BARR LABS INC                                     
